Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 177», ул. Куприна, 4 
Address_street, Есенина № 12/2
Address_street, Есенина 31
Address_street, Есенина 31/1
Address_street, Есенина 33
Address_street, Есенина 35
Address_street, Есенина 37
Address_street, Есенина 37/1
Address_street, Есенина 39
Address_street, Есенина 39/1
Address_street, Есенина 43/1
Address_street, Куприна № 6
Address_street, Куприна 8
Address_street, Куприна 8/1
Address_street, Куприна 10
Address_street, Куприна нечетная с № 1 по 19
Address_street,
Address_side, 7-й – 10-й Трикотажный
Address_side, 1-й, 2-й Доватора
Precinct_number,1491
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 177», ул. Куприна, 4 
Address_street, Гладкова
Address_street, Есенина № 43
Address_street, Есенина 45
Address_street, Есенина 47
Address_street, Есенина 49
Address_street, Есенина 51
Address_street, Есенина 51/1
Address_street, Есенина 51/2
Address_street, Куприна № 12
Address_street, Куприна 14
Address_street, Куприна 16
Address_street, Куприна 16/1
Address_street, Куприна нечетная с № 21 по 59
Address_street, Национальная – четная с № 54 по 90 нечетная с № 51 по 93
Precinct_number,1492
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 177», ул. Куприна, 4 
Address_street, Есенина № 53
Address_street, Есенина 53/1
Address_street, Есенина 55/1
